School Name,Division Name,Bachelors_Percent,Masters_Percent,Doctoral_Percent
A. Henderson Elementary,Prince William County Public Schools,35.0,62.0,2.0
A.G. Richardson Elementary,Culpeper County Public Schools,44.0,56.0,0.0
A.M. Davis Elementary,Chesterfield County Public Schools,31.0,69.0,0.0
A.S. Rhodes Elementary,Warren County Public Schools,52.0,44.0,0.0
A.W.E. Bassette Elementary,Hampton City Public Schools,58.0,32.0,3.0
Abb's Valley-Boissevain Elementary,Tazewell County Public Schools,60.0,33.0,0.0
Aberdeen Elementary,Hampton City Public Schools,55.0,32.0,3.0
Abingdon Elementary,Arlington County Public Schools,30.0,65.0,0.0
Abingdon Elementary,Gloucester County Public Schools,40.0,57.0,0.0
Abingdon Elementary,Washington County Public Schools,55.0,45.0,0.0
Abingdon High,Washington County Public Schools,44.0,49.0,2.0
Academy for Discovery at Lakewood,Norfolk City Public Schools,46.0,51.0,0.0
Accawmacke Elementary,Accomack County Public Schools,42.0,53.0,0.0
Achievable Dream Academy,Newport News City Public Schools,44.0,40.0,0.0
Achilles Elementary,Gloucester County Public Schools,36.0,62.0,0.0
Acquinton Elementary,King William County Public Schools,59.0,38.0,0.0
Addison Aerospace Magnet Middle,Roanoke City Public Schools,44.0,40.0,3.0
Admiral Richard E. Byrd Middle,Frederick County Public Schools,40.0,56.0,3.0
Agnor-Hurt Elementary,Albemarle County Public Schools,40.0,52.0,4.0
Alanton Elementary,Virginia Beach City Public Schools,44.0,54.0,2.0
Albemarle High,Albemarle County Public Schools,32.0,65.0,1.0
Albert Harris Elementary,Martinsville City Public Schools,56.0,34.0,2.0
Albert Hill Middle,Richmond City Public Schools,38.0,53.0,2.0
Albert W. Patrick III Elementary,Hampton City Public Schools,58.0,38.0,0.0
Alberta Smith Elementary,Chesterfield County Public Schools,48.0,50.0,0.0
Aldie Elementary,Loudoun County Public Schools,17.0,77.0,0.0
Aldrin Elementary,Fairfax County Public Schools,27.0,70.0,2.0
Alexandria City High School,Alexandria City Public Schools,23.0,70.0,1.0
Alfred S. Forrest Elementary,Hampton City Public Schools,47.0,53.0,0.0
Algonkian Elementary,Loudoun County Public Schools,25.0,72.0,2.0
Alice West Fleet Elementary,Arlington County Public Schools,26.0,69.0,4.0
Alleghany High,Alleghany Highlands Public Schools,51.0,47.0,0.0
Altavista Elementary,Campbell County Public Schools,53.0,44.0,0.0
Altavista High,Campbell County Public Schools,53.0,45.0,0.0
Amelia County Elementary,Amelia County Public Schools,53.0,45.0,2.0
Amelia County High,Amelia County Public Schools,56.0,38.0,4.0
Amelia County Middle,Amelia County Public Schools,49.0,47.0,4.0
Amelia Street Special Education,Richmond City Public Schools,60.0,20.0,20.0
Amelon Elementary,Amherst County Public Schools,45.0,52.0,0.0
Amherst County High,Amherst County Public Schools,45.0,47.0,2.0
Amherst Elementary,Amherst County Public Schools,42.0,48.0,0.0
Amherst Middle,Amherst County Public Schools,59.0,39.0,0.0
Andrew G. Wright Middle,Stafford County Public Schools,33.0,56.0,0.0
Andrew Lewis Middle,Salem City Public Schools,45.0,51.0,1.0
Annandale High,Fairfax County Public Schools,25.0,72.0,1.0
Annandale Terrace Elementary,Fairfax County Public Schools,26.0,74.0,0.0
Anne E. Moncure Elementary,Stafford County Public Schools,38.0,54.0,0.0
Anthony Burns Elementary,Stafford County Public Schools,47.0,45.0,0.0
Antietam Elementary,Prince William County Public Schools,43.0,50.0,3.0
Apple Pie Ridge Elementary,Frederick County Public Schools,53.0,47.0,0.0
Appomattox County High,Appomattox County Public Schools,49.0,43.0,3.0
Appomattox Elementary,Appomattox County Public Schools,55.0,39.0,2.0
Appomattox Middle,Appomattox County Public Schools,53.0,43.0,3.0
Arcadia High,Accomack County Public Schools,47.0,39.0,4.0
Archer Elementary,Fairfax County Public Schools,22.0,74.0,0.0
Arcola Elementary,Loudoun County Public Schools,21.0,77.0,1.0
Arlington Community High,Arlington County Public Schools,7.0,87.0,7.0
Arlington Science Focus School,Arlington County Public Schools,41.0,56.0,0.0
Arlington Traditional,Arlington County Public Schools,27.0,69.0,0.0
Armel Elementary,Frederick County Public Schools,43.0,55.0,0.0
Armstrong Elementary,Fairfax County Public Schools,22.0,76.0,0.0
Armstrong Elementary,Hampton City Public Schools,52.0,48.0,0.0
Arrowhead Elementary,Virginia Beach City Public Schools,42.0,56.0,2.0
Arthur R. Ware Elementary,Staunton City Public Schools,53.0,41.0,0.0
Ashburn Elementary,Loudoun County Public Schools,19.0,80.0,0.0
Ashland Elementary,Prince William County Public Schools,46.0,52.0,0.0
Ashlawn Elementary,Arlington County Public Schools,18.0,80.0,0.0
Atkins Elementary,Smyth County Public Schools,59.0,32.0,5.0
Atlee High,Hanover County Public Schools,27.0,69.0,2.0
Auburn Elementary,Montgomery County Public Schools,55.0,45.0,0.0
Auburn High,Montgomery County Public Schools,24.0,70.0,2.0
Auburn Middle,Fauquier County Public Schools,43.0,53.0,2.0
Auburn Middle,Montgomery County Public Schools,63.0,33.0,3.0
Axton Elementary,Henry County Public Schools,63.0,37.0,0.0
Azalea Gardens Middle,Norfolk City Public Schools,31.0,52.0,5.0
Back Creek Elementary,Roanoke County Public Schools,50.0,46.0,0.0
Bailey Bridge Middle,Chesterfield County Public Schools,47.0,49.0,1.0
Bailey's Upper Elementary School for the Arts and Sciences,Fairfax County Public Schools,28.0,70.0,0.0
Baker-Butler Elem,Albemarle County Public Schools,32.0,68.0,0.0
Baldwin Elementary,Manassas City Public Schools,35.0,63.0,0.0
Baldwin Intermediate,Manassas City Public Schools,38.0,63.0,0.0
Ball's Bluff Elementary,Loudoun County Public Schools,19.0,78.0,2.0
